item_id	i_genre_c	i_title_c
1	145	2882
2	115	1504
3	206	1216
4	185	2986
5	176	960
6	63	1278
7	206	2448
8	106	2862
9	1	2714
10	37	1163
11	187	123
12	195	821
13	144	238
14	238	2021
15	29	690
16	259	511
17	251	2491
18	295	1040
19	176	39
20	1	1862
21	47	1114
22	224	640
23	295	191
24	257	2241
25	251	1609
26	238	2098
27	238	2040
28	287	2165
29	138	580
30	238	2524
31	238	708
32	257	2915
33	161	212
34	251	509
35	238	728
36	234	41
37	176	1457
38	206	601
39	238	681
40	261	2372
41	57	732
42	238	2360
43	2	1874
44	185	2854
45	251	1365
46	233	2497
47	153	2208
48	251	3034
49	233	2955
50	176	1824
51	238	1582
52	160	329
53	238	1107
54	238	1333
55	251	2238
56	115	1427
57	259	918
58	238	1883
59	176	802
60	206	2928
61	176	342
62	292	1603
63	206	1057
64	176	1061
65	46	1075
66	1	931
67	185	1528
68	245	1850
69	251	280
70	292	2478
71	234	1994
72	238	671
73	259	1513
74	238	3044
75	221	2807
76	238	161
77	238	2072
78	185	1597
79	251	151
80	126	3049
81	160	845
82	176	356
83	92	1993
84	259	1767
85	206	2958
86	238	275
87	92	459
88	176	1415
89	238	1264
90	234	1287
91	259	575
92	176	414
93	176	1892
94	295	2942
95	176	1251
96	251	450
97	185	2026
98	111	1912
99	73	433
100	259	2771
101	16	2432
102	247	286
103	234	157
104	215	3120
105	206	1403
106	238	424
107	206	408
108	248	563
109	238	2657
110	176	1010
111	115	1981
112	234	1511
113	206	2188
114	295	1468
115	176	813
116	234	1079
117	251	2949
118	176	344
119	176	465
120	1	227
121	106	111
122	238	256
123	238	208
124	224	110
125	238	168
126	254	2386
127	271	46
128	10	261
129	238	294
130	261	317
131	176	390
132	213	494
133	106	512
134	238	595
135	28	626
136	260	663
137	234	678
138	84	761
139	227	770
140	92	780
141	185	804
142	20	990
143	112	1051
144	63	1228
145	176	1480
146	87	1493
147	33	1499
148	176	1514
149	238	1533
150	176	1656
151	271	1671
152	176	1685
153	176	1730
154	41	1828
155	251	1870
156	295	1924
157	238	1959
158	292	1976
159	176	2017
160	176	2136
161	271	2275
162	176	2335
163	295	2449
164	238	2468
165	238	2539
166	238	2581
167	187	2606
168	275	2631
169	238	2675
170	62	2699
171	245	2934
172	238	2828
173	251	2873
174	176	2859
175	1	2937
176	185	2945
177	234	2948
178	251	2989
179	2	3006
180	238	3046
181	297	3061
182	238	466
183	238	478
184	238	287
185	251	285
186	176	340
187	259	218
188	185	425
189	238	687
190	251	570
191	176	592
192	187	801
193	259	788
194	1	833
195	259	743
196	259	800
197	176	842
198	185	857
199	238	914
200	176	910
201	185	859
202	206	1056
203	206	1037
204	106	945
205	148	1177
206	295	1307
207	167	1013
208	245	952
209	234	1342
210	240	1283
211	176	1360
212	251	1407
213	160	1286
214	1	1376
215	206	1397
216	243	1441
217	238	1479
218	176	1484
219	210	1510
220	286	1515
221	109	1529
222	224	1557
223	24	2669
224	238	1651
225	167	1645
226	238	1579
227	251	1632
228	255	1612
229	176	1726
230	238	1644
231	238	1933
232	251	1687
233	238	1677
234	238	1720
235	243	1768
236	176	1852
237	206	1832
238	238	1839
239	176	1813
240	238	1936
241	259	1916
242	238	2027
243	238	1974
244	216	1984
245	92	1968
246	206	2084
247	216	2073
248	295	2212
249	71	2107
250	222	2270
251	206	2157
252	206	2292
253	216	2281
254	238	2123
255	176	2290
256	238	2253
257	238	2302
258	251	2186
259	251	2295
260	39	2300
261	185	2417
262	176	2328
263	238	2822
264	238	2821
265	238	2823
266	238	2338
267	176	2710
268	144	2738
269	238	2488
270	1	2630
271	33	2673
272	162	2459
273	238	2525
274	295	2520
275	270	2736
276	238	2702
277	185	2743
278	176	2720
279	176	1966
280	238	2857
